,name,web,ban
0,FIVES NORDON,https://piping-solutions.fivesgroup.com/fr/,False
1,DECAYEUXSTI,https://www.decayeuxsti.com/,False
2,BCF INDUSTRIES,https://www.verif.com/societe/BCF-INDUSTRIES-335202669/,True
3,JENOPTIK,https://www.jenoptik.com/,False
4,CLEIA,https://www.cleia.fr/fr/,False
5,MERCIER ENGRENAGES,http://www.mercier-engrenages.com/,False
6,ECOFIT,https://www.ecofit.com/,False
7,TECMA ARIES,http://www.tecma-aries.com/fr/,False
8,TECMA ARIES,http://www.tecma-aries.com/fr/,False
9,CHOQUENET SAS,https://www.choquenet.com/,False
10,CRM MÉCA,erreur,False
11,ALPHITAN GROUP,https://www.alphitan.com/,False
12,DEVISMES,https://www.devismes.fr/,False
13,GILLOUAYE SAS,http://www.silos-gillouaye.com/,False
14,LA PRECISION SCIONZIER,https://www.pagesjaunes.fr/pros/00530023,True
15,CHAPLAIN,https://chaplain.fr/,False
16,CERATEC,https://www.ceratec.com/FR,False
17,SKIOLD ACEMO,https://skiold.com/fr,False
18,VERNET GROUP,https://www.vernet-group.com/,False
19,SANDEN MANUFACTURING EUROPE,http://sanden-europe.fr/,False
20,BAUMERT,https://www.baumert.fr/,False
21,EAMS INDUSTRIE - 29000 -  QUIMPER,https://www.eams-industrie.com/,False
22,MECALECTRO,https://www.mecalectro.com/,False
23,TAMA AERNOVA FRANCE,https://www.tamaaernova.com/en/,False
24,NEXTER SYSTEMS,https://www.nexter-group.fr/,False
25,NEXTER,https://www.nexter-group.fr/,False
26,ALSTEF GROUP,https://www.alstefgroup.com/,False
27,ECHAME,https://www.linkedin.com/company/echame,True
28,GUÉRY,https://www.guery.fr/,False
29,BOUVERAT-PERNAT,https://www.bouverat-pernat.fr/,False
30,FROMFROID,https://www.fromfroid.com/,False
31,CNIM,https://cnim.com/,False
32,CNIM,https://cnim.com/,False
33,CNIM,https://cnim.com/,False
34,CNIM,https://cnim.com/,False
35,CNIM,https://cnim.com/,False
36,LANSON  INTERNATIONAL DIFFUSION,https://www.l-i-d.com/,False
37,MICRO RECTIF,http://www.micro-rectif.fr/,False
38,USINALP,http://www.usinalp.fr/,False
39,ETABLISSEMENTS GRAYEL & FILS,https://www.grayel.com/,False
40,GROUPE KEPRA,http://groupekepra.com/,False
41,TECHNIBAG,https://www.technibag.com/fr/,False
42,GGB FRANCE  E.U.R.L.,https://dirigeant.societe.com/dirigeant/Laetitia.DELCULEE.68367820.html,True
43,TECHNO MAP,https://www.technomap.fr/,False
44,SOULIER LPM,http://soulier.fr/,False
45,TORBEL INDUSTRIE,https://www.torbel.fr/,False
46,EXOSUN,https://fr.wikipedia.org/wiki/Exosun,True
47,FLOWBIRD GROUP,https://www.flowbird.group/,False
48,GROUPE GILO INVEST,http://www.actionnariatwallon.be/organisme/gilo-invest-153402,False
49,ANDRE LAURENT SAS,https://www.andre-laurent.fr/,False
50,POMMIER,https://www.pommier.eu/,False
51,GERFLOR,https://www.gerflor.fr/,False
52,COMETE - GROUPE FAYAT,https://comete.fayat.com/,False
53,GROUPE ADF,https://www.groupeadf.com/fr/,False
54,SDMS LA CHAUDRONNERIE BLANCHE,https://www.sdms.fr/,False
55,EUROTECH,https://www.eurotech.com/fr,False
56,CLESSE INDUSTRIES,http://www.clesse.eu/fr/,False
57,JOHNSON CONTROL,erreur,False
58,TITEFLEX EUROPE,https://titeflex.com/,False
59,REEL,https://extranet.reel.fr/,False
60,TERREAL,https://terreal.com/fr/,False
61,CMI MAINTENANCE EST,https://www.societe.com/societe/cmi-maintenance-est-332962331.html,True
62,FLEXITECH,http://www.flexitec.fr/accueil/index.html,False
63,SODIMATE,https://sodimate.com/fr/accueil/,False
64,TUBAO SAS,https://www.tubao.fr/,False
65,BAUDIN CHATEAUNEUF,https://www.baudinchateauneuf.com/,False
66,SAH LEDUC,https://www.sahleduc.com/fr/secteurs.html,False
67,SIDEM,https://sidem.fr/,False
68,DEVILLE RECTIFICATION,https://www.deville-rectif.com/fr/,False
69,BUFAB,https://www.bufab.com/,False
70,AGRATI GROUP,https://www.agrati.com/fr/,False
71,BERTRAND POLICO,https://www.societe.com/societe/bertrand-polico-572010668.html,True
72,SEG - SOGEMA ENGINEERING,http://www.sogema-engineering.com/,False
73,PROCODIS FRANCE,https://www.procodisfrance.com/,False
74,OSE,https://www.ose.fr/nous/,False
75,CRYO DIFFUSION,https://www.cryodiffusion.com/?lang=fr,False
76,SEGAULT,https://www.segault.fr/robinetterie-nucleaire-civile/,False
77,MANQUILLET PARIZEL,http://manquillet-parizel.fr/,False
78,PELLENC SAS,https://pellenc.com/,False
79,YVELINOX,http://www.yvelinox.com/,False
80,NIPSON TECHNOLOGY,http://www.nipson.com/,False
81,NEW LACHAUSSEE,erreur,False
82,BIEBUYCK SA,erreur,False
83,SERMATI,https://www.sermati.com/fr,False
84,AVANTIS ENGINEERING,https://avantis-group.com/,False
85,BOURG FRÈRES,http://bourg-freres.fr/bienvenue.html,False
86,SERMETA,https://sermeta.com/,False
87,SERA - INDUSTRIE,https://blog.agencenile.com/6-exemples-de-sites-web-industriels-inspirants-pour-2018,False
88,PROD'LAB,https://prolab-site.ubilab.io/,False
89,PEUGEOT SAVEURS SNC,https://fr.peugeot-saveurs.com/fr/,False
90,OREXAD-BRAMMER,https://www.orexad.com/,False
91,CHAMBON GAUTHIER,https://www.chambon-gauthier.fr/,False
92,MAUCOUR FRANCE,https://www.maucour.fr/,False
93,BRANDT,https://brandt.fr/,False
94,FIVES DMS,https://csefivesdms.fr/.login/,False
95,TRESCAL SA,https://www.trescal.com/fr/,False
96,BERNARD CONTROLS,https://www.bernardcontrols.com/fr,False
97,ADEXSI,https://www.adexsi.fr/,False
98,OUEST COATING,http://www.ouestcoaching.fr/,False
99,GSTI,https://www.gsti.fr/,False
100,SAB BELMONT,https://groupe-sab.fr/,False
101,CÈDRES INDUSTRIES,erreur,False
102,CEGELEC CEM,https://www.societe.com/societe/cegelec-cem-537934309.html,True
103,FIVES FCB,https://www.fivesgroup.com/fr/?no_cache=1,False
